EE,Set Up Wall Mount 41+,60
EF,Set Up Wall Mount less than 40,20
EJ,Set Up TV on Stand,20
EO,Set Up Surround Sound,20
EQ,Set Up Surround Sound In Wall,20
ES,Set Up 2 Speakers,20
EW,Set Up TV/Component to Internet,10
EX,Set Up Additional Wires,10
F;,Screen Cleaner with Cloth,5
EM,Set Up Wireless Network,10
JL,Set Up HDMI Cable - 8 feet,5
G#,Set Up HDMI Cable - 15 feet,7
G-,Set Up HDMI Cable - 30 feet,9
-G,Set Up Optical Cable - 6 feet,5
FY,Set Up Optical Cable - 12 feet,7
J/,Set Up Surge Protector - GE 10 Outlet,7
J*,Set Up Polk SmartBar,30
J.,Set up Power Relocation Kit,20
C*,Set Up TV Full Motion Bracket less than 32in,20
G(,Set Up TV Tilt Bracket 24in - 42in,20
G$,Set Up TV Tilt Bracket 43in - 80in,25
JM,Set Up TV Full Motion Bracket 56in - 70in,70
FX,Set Up Speaker Bracket - Single,20
V{,Set Up Tailgater,40
TI,Set Up HDMI Cable - 2M (6 ft) Audioquest,8
TF,Set Up External Hard Drive - 1TB,10
-J,Tune-Up TV,20
T3,HarmonyUltimate Remote,10
T5,Harmony Setup,10
XN,TV Full Motion Bracket 32in - 55in,50
JI,Set Up WiFi Range Extender,5
TC,Set Up Bluetooth Headphones - Red,15
32,Set Up Bluetooth Headphones - Black,15
35,Set Up Bluetooth Headphones - White,15
EC8,Install Ethernet Over Power,5
EC3,Megajam BT Speaker - Black,10
EC4,Megajam BT Speaker - White,10
3*,Premium Surge Protector,7
EB4,Set Up HDMI Corner - Audioquest,8
EB7,Set Up Hopper Remote Skin - Blue,5
EB8,Set Up Hopper Remote Skin - Green,5
EB9,Set Up Hopper Remote Skin - Pink GID,5
EC1,Set Up Hopper Remote Skin - Yellow GID,5
EE7,Set Up TV Installation w/ Bracket,20
EE8,Set Up Full Motion Upgrade,40
EF1,Set Up Power Relocation Upgrade,20
EF3,Set Up Joey Bluetooth Adapter,5
EF6,Set Up Headphones - Bears,20
EF8,Set Up Headphones - Broncos,20
EG1,Set Up Headphones - Cowboys,20
EG4,Set Up Headphones - Patriots,20
EG6,Set Up Headphones - Seahawks,20
EG3,Set Up Smart Bar,30
EG8,Set Up Headphones -OH State Buckeyes,20
EH1,Set Up Headphones - TN Vols,20
EH3,Set Up Headphones - TX Longhorns,20
EH8,Set Up Smart Woofer,20
EM5,Set Up Hopper Remote Skin - Red,5
EV5,Set Up Tailgater 2 Antenna,40
EK1,Set Up Premium Wireless Network,20
EO2,Set Up Bluetooth Speaker Boom Duo,10
